"","year","Element","total","continent"
"249","Y2012","Export Quantity",34910118,"Asia"
"250","Y2012","Export Value",33538524,"Asia"
"251","Y2012","Import Quantity",21168221,"Asia"
"252","Y2012","Import Value",21962980,"Asia"
"253","Y2013","Export Quantity",36698988,"Asia"
"254","Y2013","Export Value",28850322,"Asia"
"255","Y2013","Import Quantity",20926477,"Asia"
"256","Y2013","Import Value",17428958,"Asia"
"257","Y2014","Export Quantity",38564165.26,"Asia"
"258","Y2014","Export Value",30004932,"Asia"
"259","Y2014","Import Quantity",23058974.91,"Asia"
"260","Y2014","Import Value",19379751,"Asia"
"261","Y2015","Export Quantity",42228688.31,"Asia"
"262","Y2015","Export Value",25227608,"Asia"
"263","Y2015","Import Quantity",27119861.66,"Asia"
"264","Y2015","Import Value",17542988,"Asia"
"265","Y2016","Export Quantity",36906156.8,"Asia"
"266","Y2016","Export Value",23759825,"Asia"
"267","Y2016","Import Quantity",22345420,"Asia"
"268","Y2016","Import Value",15402668,"Asia"
"269","Y2017","Export Quantity",41822786.37,"Asia"
"270","Y2017","Export Value",28706443,"Asia"
"271","Y2017","Import Quantity",24827022.23,"Asia"
"272","Y2017","Import Value",18217890,"Asia"
"273","Y2018","Export Quantity",42489667.64,"Asia"
"274","Y2018","Export Value",25787787,"Asia"
"275","Y2018","Import Quantity",25427941.42,"Asia"
"276","Y2018","Import Value",16483278,"Asia"
"277","Y2019","Export Quantity",43578139.53,"Asia"
"278","Y2019","Export Value",23636518,"Asia"
"279","Y2019","Import Quantity",29156509.37,"Asia"
"280","Y2019","Import Value",16422336,"Asia"
"281","Y2020","Export Quantity",41310682.15,"Asia"
"282","Y2020","Export Value",27825102,"Asia"
"283","Y2020","Import Quantity",25470380.87,"Asia"
"284","Y2020","Import Value",17795414,"Asia"
"285","Y2021","Export Quantity",40429391.22,"Asia"
"286","Y2021","Export Value",42604299,"Asia"
"287","Y2021","Import Quantity",27456727.25,"Asia"
"288","Y2021","Import Value",29820687,"Asia"
"289","Y1986","Export Quantity",15383,"Americas"
"290","Y1986","Export Value",3980,"Americas"
"291","Y1986","Import Quantity",290500,"Americas"
"292","Y1986","Import Value",105216,"Americas"
"293","Y1987","Export Quantity",19523,"Americas"
"294","Y1987","Export Value",7177,"Americas"
"295","Y1987","Import Quantity",201503,"Americas"
"296","Y1987","Import Value",68977,"Americas"
"297","Y1988","Export Quantity",11448,"Americas"
"298","Y1988","Export Value",4623,"Americas"
"299","Y1988","Import Quantity",172621,"Americas"
"300","Y1988","Import Value",79140,"Americas"
"301","Y1989","Export Quantity",12822,"Americas"
"302","Y1989","Export Value",6267,"Americas"
"303","Y1989","Import Quantity",179227,"Americas"
"304","Y1989","Import Value",78481,"Americas"
"305","Y1990","Export Quantity",12411,"Americas"
"306","Y1990","Export Value",5804,"Americas"
"307","Y1990","Import Quantity",344637,"Americas"
"308","Y1990","Import Value",113432,"Americas"
